Duty Period #,Flights
4525,"['NA2967', 'NA1825', 'NA1150', 'NA2089', 'NA1344', 'NA2532']"
4526,"['NA1976', 'NA1100', 'NA2128', 'NA1572', 'NA2863']"
4527,"['NA2176', 'NA1452', 'NA2659']"
4528,"['NA2993', 'NA1877', 'NA1014', 'NA2328', 'NA3048', 'NA2532']"
4529,"['NA1976', 'NA1100', 'NA2328', 'NA3048', 'NA2659']"
4530,"['NA1485', 'NA1877', 'NA1014', 'NA2836']"
4531,"['NA1139', 'NA1825', 'NA1303']"
4532,"['NA3528', 'NA2033', 'NA1014', 'NA1705', 'NA1365', 'NA2659']"
4533,"['NA1733', 'NA1100', 'NA2423', 'NA3048', 'NA2836']"
4534,"['NA1100', 'NA2263', 'NA1604', 'NA1911', 'NA1344', 'NA2061']"
4535,"['NA3671', 'NA1877', 'NA1150', 'NA1754']"
4536,"['NA3021', 'NA2423', 'NA3048', 'NA2751']"
4537,"['NA2176', 'NA1452', 'NA2515']"
4538,"['NA2967', 'NA2263', 'NA1638', 'NA2532']"
4539,"['NA2967', 'NA1877', 'NA1014', 'NA2328', 'NA3048', 'NA2751']"
4540,"['NA3021', 'NA2033', 'NA1035', 'NA1911', 'NA1193', 'NA2061']"
4541,"['NA1139', 'NA2561', 'NA3358', 'NA3081', 'NA3256']"
4542,"['NA3596', 'NA1877', 'NA1035', 'NA1911', 'NA1344', 'NA2659']"
4543,"['NA1485', 'NA2033', 'NA1440', 'NA1911', 'NA1344', 'NA1855']"
4544,"['NA3021', 'NA2033', 'NA1014', 'NA2532']"
4545,"['NA3528', 'NA2033', 'NA1344', 'NA2532']"
4546,"['NA3596', 'NA1877', 'NA1440', 'NA1705', 'NA1365', 'NA2595']"
4547,"['NA1485', 'NA1825', 'NA1014', 'NA2089', 'NA1344', 'NA2532']"
4548,"['NA1877', 'NA1440', 'NA2302', 'NA1516']"
4549,"['NA1485', 'NA1877']"
4550,"['NA1877', 'NA1440', 'NA1911', 'NA1344', 'NA2595']"
4551,"['NA1485', 'NA1754']"
4552,"['NA1139', 'NA2033', 'NA1440', 'NA1797']"
4553,"['NA3566', 'NA2361']"
4554,"['NA1485', 'NA2004', 'NA1398', 'NA1855']"
4555,"['NA2993', 'NA2033', 'NA1014', 'NA2089', 'NA1365']"
4556,"['NA3528', 'NA2263', 'NA1604', 'NA2328', 'NA3172', 'NA3256']"
4557,"['NA2906', 'NA3734', 'NA1911', 'NA1344', 'NA2836']"
4558,"['NA3596', 'NA2033', 'NA1227', 'NA2089', 'NA1344', 'NA1855']"
4559,"['NA3021', 'NA2033', 'NA1227', 'NA2089', 'NA1365']"
4560,"['NA2967', 'NA2176', 'NA1452', 'NA2328', 'NA3048', 'NA1855']"
4561,"['NA2967', 'NA2176', 'NA1638', 'NA1911', 'NA1344', 'NA2532']"
4562,"['NA1248', 'NA2423', 'NA3048', 'NA1940']"
4563,"['NA3021', 'NA1877', 'NA1227', 'NA2302', 'NA1516']"
4564,"['NA1877', 'NA1150', 'NA1911', 'NA1344', 'NA2532']"
4565,"['NA3528', 'NA2033', 'NA1150', 'NA2089', 'NA1193']"
4566,"['NA1485', 'NA2263', 'NA1638', 'NA2751']"
4567,"['NA1285', 'NA2004', 'NA1398', 'NA2730']"
4568,"['NA2993', 'NA2033', 'NA1150', 'NA1754']"
4569,"['NA1976', 'NA1440', 'NA2328', 'NA3048', 'NA2061']"
4570,"['NA1733', 'NA1150', 'NA2239']"
4571,"['NA2771', 'NA3566', 'NA1911', 'NA1344', 'NA2532']"
4572,"['NA1976', 'NA1248', 'NA2218', 'NA1572', 'NA1754']"
4573,"['NA1733', 'NA1248', 'NA1674', 'NA1398']"
4574,"['NA1540', 'NA2659']"
4575,"['NA3021', 'NA2004', 'NA1398', 'NA1855']"
4576,"['NA3021', 'NA2906', 'NA3734', 'NA2863']"
4577,"['NA1139', 'NA2033', 'NA1014', 'NA2361', 'NA3117']"
4578,"['NA3596', 'NA2218', 'NA1572', 'NA2239']"
4579,"['NA1139', 'NA1911']"
4580,"['NA2967', 'NA2033', 'NA1035', 'NA2659']"
4581,"['NA1139', 'NA2263', 'NA1604', 'NA1911', 'NA1365', 'NA2595']"
4582,"['NA2993', 'NA2033', 'NA1150', 'NA2751']"
4583,"['NA1139', 'NA1825', 'NA1227', 'NA2089', 'NA1344', 'NA1940']"
4584,"['NA3671', 'NA1877', 'NA1344', 'NA2595']"
4585,"['NA3528', 'NA1877', 'NA1365']"
4586,"['NA3528', 'NA2771', 'NA3652', 'NA1754']"
4587,"['NA3596', 'NA1825', 'NA1150', 'NA2532']"
4588,"['NA3528', 'NA2906', 'NA3734', 'NA2089', 'NA1193', 'NA2595']"
4589,"['NA1485', 'NA1877', 'NA1035', 'NA1797']"
4590,"['NA1100', 'NA2089', 'NA1365', 'NA2595']"
4591,"['NA1078', 'NA2143', 'NA1572', 'NA2239']"
4592,"['NA2993', 'NA1825', 'NA1398', 'NA2659']"
4593,"['NA1485', 'NA2033', 'NA1440', 'NA1911', 'NA1344', 'NA2532']"
4594,"['NA1877', 'NA1035', 'NA1705', 'NA1365', 'NA2659']"
4595,"['NA2004', 'NA1398', 'NA2863']"
4596,"['NA3596', 'NA1877', 'NA1014', 'NA2659']"
4597,"['NA2993', 'NA1877', 'NA1035']"
4598,"['NA3671', 'NA2143', 'NA1572', 'NA1797']"
4599,"['NA2993', 'NA2771', 'NA3566', 'NA2595']"
4600,"['NA2263', 'NA1572', 'NA1754']"
4601,"['NA1733', 'NA1035']"
4602,"['NA3596', 'NA1674', 'NA1365']"
4603,"['NA1485', 'NA2423', 'NA3137', 'NA3296', 'NA1855']"
4604,"['NA1139', 'NA1877', 'NA1440', 'NA1705', 'NA1365']"
4605,"['NA1485', 'NA1877', 'NA1150', 'NA2089']"
4606,"['NA2967', 'NA2561', 'NA3358', 'NA3048', 'NA2751']"
4607,"['NA2625', 'NA3493', 'NA2089']"
4608,"['NA1976', 'NA1227', 'NA1911', 'NA1344', 'NA2532']"
4609,"['NA1139', 'NA1674', 'NA1303', 'NA2061']"
4610,"['NA3671', 'NA2033', 'NA1014', 'NA1705']"
4611,"['NA3528', 'NA2263', 'NA1604', 'NA2239', 'NA1516']"
4612,"['NA1976', 'NA1248']"
4613,"['NA1100', 'NA2263', 'NA1638', 'NA1911', 'NA1344', 'NA1940']"
4614,"['NA1976', 'NA1285', 'NA2004', 'NA1398', 'NA2239', 'NA1516']"
4615,"['NA1452', 'NA2143', 'NA1572', 'NA2239', 'NA1516']"
4616,"['NA3528', 'NA2004', 'NA1303', 'NA2836']"
4617,"['NA2993', 'NA1825', 'NA1365']"
4618,"['NA3611', 'NA2836']"
4619,"['NA1139', 'NA2033', 'NA1150', 'NA1911', 'NA1365', 'NA2659']"
4620,"['NA1485', 'NA2128', 'NA1572', 'NA2239', 'NA1516']"
4621,"['NA3021', 'NA1825', 'NA1150', 'NA2595']"
4622,"['NA1733', 'NA1285', 'NA2218', 'NA1572', 'NA1940']"
4623,"['NA2967', 'NA2033', 'NA1014', 'NA2863']"
4624,"['NA1733', 'NA1227', 'NA2089', 'NA1344', 'NA2659']"
4625,"['NA1976', 'NA1100', 'NA2263', 'NA1604', 'NA2515']"
4626,"['NA3528', 'NA2771', 'NA3566', 'NA2532']"
4627,"['NA2381', 'NA3137', 'NA3296', 'NA1940']"
4628,"['NA3671', 'NA1877', 'NA1398', 'NA1940']"
4629,"['NA2771', 'NA3566', 'NA1911', 'NA1193', 'NA2659']"
4630,"['NA2967', 'NA2004', 'NA1365', 'NA2659']"
4631,"['NA3596', 'NA2423', 'NA2937', 'NA2659']"
4632,"['NA2967', 'NA1877', 'NA1035', 'NA1911', 'NA1344']"
4633,"['NA3021', 'NA2033', 'NA1398', 'NA1754']"
4634,"['NA1976', 'NA1285', 'NA1911', 'NA1365', 'NA2595']"
4635,"['NA3596', 'NA1877', 'NA1014', 'NA2328', 'NA3048', 'NA2751']"
4636,"['NA3671', 'NA1877', 'NA1150', 'NA2532']"
4637,"['NA3671', 'NA1877', 'NA1440', 'NA2089', 'NA1344', 'NA1940']"
4638,"['NA3528', 'NA2906', 'NA3734', 'NA1911', 'NA1365']"
4639,"['NA1139', 'NA2452', 'NA3137', 'NA3296', 'NA2061']"
4640,"['NA3021', 'NA2561', 'NA3256']"
4641,"['NA1139', 'NA2033', 'NA1014', 'NA2089', 'NA1344', 'NA1940']"
4642,"['NA2967', 'NA1674', 'NA1303', 'NA2659']"
4643,"['NA3021', 'NA2906', 'NA3734', 'NA2361', 'NA3117']"
4644,"['NA1877', 'NA1014', 'NA2239', 'NA1516']"
4645,"['NA2967', 'NA2176', 'NA1452', 'NA2089', 'NA1344', 'NA2532']"
4646,"['NA3596', 'NA2033', 'NA1014', 'NA2328', 'NA3048', 'NA1855']"
4647,"['NA3528', 'NA2263', 'NA1638', 'NA1911', 'NA1193', 'NA2659']"
4648,"['NA1078', 'NA2004', 'NA1303', 'NA2836']"
4649,"['NA2993', 'NA1825', 'NA1227', 'NA2328', 'NA3048', 'NA2659']"
4650,"['NA3021', 'NA1674', 'NA1344', 'NA2532']"
4651,"['NA1485', 'NA2263', 'NA1638', 'NA1705']"
4652,"['NA1285', 'NA2423', 'NA3137', 'NA3296', 'NA2730']"
4653,"['NA1976', 'NA1303', 'NA2061']"
4654,"['NA1733', 'NA1078', 'NA2328', 'NA3048', 'NA2836']"
4655,"['NA3528', 'NA2004', 'NA1303', 'NA2595']"
4656,"['NA2967', 'NA2515']"
4657,"['NA1485', 'NA2033', 'NA1398', 'NA2751']"
4658,"['NA2033', 'NA1440', 'NA2328', 'NA3172', 'NA3256']"
4659,"['NA1733', 'NA1440', 'NA2089', 'NA1365', 'NA2659']"
4660,"['NA2967', 'NA2906', 'NA3734', 'NA2089', 'NA1365', 'NA2659']"
4661,"['NA3671', 'NA2004', 'NA1398', 'NA2863']"
4662,"['NA1733', 'NA1248', 'NA1674', 'NA1303', 'NA1797']"
4663,"['NA3230', 'NA1674', 'NA1303']"
4664,"['NA2033', 'NA1227', 'NA2328', 'NA3172', 'NA3316']"
4665,"['NA1485', 'NA2771', 'NA3652', 'NA2595']"
4666,"['NA1976', 'NA1248', 'NA1674', 'NA1398', 'NA2863']"
4667,"['NA1285', 'NA2089', 'NA1365']"
4668,"['NA2143', 'NA1572', 'NA2863']"
4669,"['NA1485', 'NA1877', 'NA1398', 'NA2730']"
4670,"['NA2993', 'NA2561', 'NA3358', 'NA3081', 'NA3316']"
4671,"['NA1976', 'NA1100', 'NA1911', 'NA1193']"
4672,"['NA1877', 'NA1440', 'NA2328', 'NA3048', 'NA2061']"
4673,"['NA2967', 'NA1877', 'NA1014', 'NA2302']"
4674,"['NA1078', 'NA2089', 'NA1365', 'NA2595']"
4675,"['NA1485', 'NA2816', 'NA3566', 'NA1911', 'NA1193', 'NA2595']"
4676,"['NA1485', 'NA2004', 'NA1193']"
4677,"['NA3671', 'NA2033', 'NA1303', 'NA2239', 'NA1516']"
4678,"['NA1139', 'NA2033', 'NA1014', 'NA2089', 'NA1344', 'NA2659']"
4679,"['NA1485', 'NA1825', 'NA1035', 'NA2751']"
4680,"['NA1733', 'NA1100', 'NA2004', 'NA1398', 'NA2730']"
4681,"['NA1485', 'NA2143', 'NA1572', 'NA2595']"
4682,"['NA1100', 'NA2004', 'NA1365', 'NA2595']"
4683,"['NA3596', 'NA2771', 'NA3566', 'NA1911', 'NA1344', 'NA2595']"
4684,"['NA2625', 'NA3493', 'NA1705', 'NA1365', 'NA2595']"
4685,"['NA1825', 'NA1035', 'NA2239', 'NA1516']"
4686,"['NA3528', 'NA1674', 'NA1398', 'NA2730']"
4687,"['NA3596', 'NA1825', 'NA1150', 'NA1911', 'NA1344', 'NA2595']"
4688,"['NA3528', 'NA1877', 'NA1440', 'NA1911', 'NA1365']"
4689,"['NA2993', 'NA2423', 'NA3137']"
4690,"['NA1485', 'NA1674', 'NA1398', 'NA1754']"
4691,"['NA1248', 'NA1674', 'NA1193', 'NA2061']"
4692,"['NA1139', 'NA2381']"
4693,"['NA2967', 'NA2906', 'NA3734', 'NA2836']"
4694,"['NA1139', 'NA2033', 'NA1150', 'NA1911', 'NA1344', 'NA2836']"
4695,"['NA1485', 'NA2561', 'NA3358', 'NA3117']"
4696,"['NA2993', 'NA1825', 'NA1398', 'NA2751']"
4697,"['NA3021', 'NA1825', 'NA1193']"
4698,"['NA1485', 'NA2381', 'NA3048', 'NA1940']"
4699,"['NA3671', 'NA1825', 'NA1227', 'NA1911', 'NA1344', 'NA2836']"
4700,"['NA3596', 'NA1877', 'NA1014', 'NA1911', 'NA1344', 'NA2659']"
4701,"['NA3596', 'NA2263', 'NA1604', 'NA1911', 'NA1344', 'NA2061']"
4702,"['NA3528', 'NA1825', 'NA1398', 'NA1754']"
4703,"['NA1139', 'NA2452', 'NA2937', 'NA1855']"
4704,"['NA1976', 'NA1014', 'NA2089']"
4705,"['NA3021', 'NA2423', 'NA3137', 'NA3296', 'NA2532']"
4706,"['NA3671', 'NA2033', 'NA1398', 'NA1705']"
4707,"['NA1485', 'NA2561', 'NA3358', 'NA3172', 'NA3316']"
4708,"['NA2967', 'NA1877', 'NA1227', 'NA2328', 'NA3172']"
4709,"['NA1733', 'NA1285', 'NA2328', 'NA3048', 'NA1754']"
4710,"['NA2993', 'NA1825', 'NA1150', 'NA2239']"
4711,"['NA1139', 'NA2033', 'NA1440', 'NA2328', 'NA3117']"
4712,"['NA3528', 'NA2816', 'NA3566', 'NA1705', 'NA1365', 'NA2659']"
4713,"['NA1733', 'NA1078', 'NA2004', 'NA1303', 'NA1855']"
4714,"['NA1976', 'NA1150', 'NA2730']"
4715,"['NA1139', 'NA1877', 'NA1440', 'NA1797']"
4716,"['NA1100', 'NA2128', 'NA1572', 'NA2239']"
4717,"['NA2967', 'NA2561', 'NA3296', 'NA2730']"
4718,"['NA3048', 'NA2532']"
4719,"['NA3021', 'NA2218']"
4720,"['NA2967', 'NA1877', 'NA1344', 'NA2532']"
4721,"['NA3021', 'NA2263', 'NA1572', 'NA2532']"
4722,"['NA1440', 'NA1911', 'NA1344', 'NA2595']"
4723,"['NA2967', 'NA2033', 'NA1150', 'NA2089', 'NA1193', 'NA2061']"
4724,"['NA3734', 'NA2659']"
4725,"['NA1877', 'NA1440', 'NA2328', 'NA3117']"
4726,"['NA1733', 'NA1285', 'NA2423', 'NA3081']"
4727,"['NA3596', 'NA1877', 'NA1440', 'NA1940']"
4728,"['NA3671', 'NA2906']"
4729,"['NA1035', 'NA1705', 'NA1365', 'NA2595']"
4730,"['NA3528', 'NA2263', 'NA1604', 'NA2595']"
4731,"['NA1485', 'NA2263', 'NA1604', 'NA1855']"
4732,"['NA3021', 'NA1911', 'NA1193', 'NA2061']"
4733,"['NA1100', 'NA2263', 'NA1572', 'NA1855']"
4734,"['NA1976', 'NA1078', 'NA2328', 'NA3048', 'NA2061']"
4735,"['NA3596', 'NA1877', 'NA1014', 'NA2328']"
4736,"['NA3671', 'NA2452', 'NA3048', 'NA2595']"
4737,"['NA3021', 'NA2263', 'NA1638', 'NA1911', 'NA1344', 'NA2595']"
4738,"['NA3596', 'NA1877', 'NA1398', 'NA1705', 'NA1365', 'NA2595']"
4739,"['NA3671', 'NA2033', 'NA1014', 'NA1911', 'NA1365']"
4740,"['NA3596', 'NA2033', 'NA1014', 'NA1911', 'NA1193', 'NA2595']"
4741,"['NA2993', 'NA1877', 'NA1150', 'NA2751']"
4742,"['NA2993', 'NA2423', 'NA2937', 'NA1911']"
4743,"['NA3230', 'NA2004']"
4744,"['NA1733', 'NA1078', 'NA1911', 'NA1344', 'NA1940']"
4745,"['NA1733', 'NA1078', 'NA2089', 'NA1193', 'NA2659']"
4746,"['NA3671', 'NA2263', 'NA1638', 'NA1911', 'NA1344', 'NA2595']"
4747,"['NA1976', 'NA1100', 'NA2263', 'NA1604', 'NA2089', 'NA1344']"
4748,"['NA1733', 'NA1100', 'NA1705', 'NA1365']"
4749,"['NA3671', 'NA2452']"
4750,"['NA1976', 'NA1248', 'NA1674', 'NA1365', 'NA2659']"
4751,"['NA1452', 'NA2004', 'NA1193', 'NA2061']"
4752,"['NA2033', 'NA1365']"
4753,"['NA1976', 'NA1248', 'NA1911', 'NA1344', 'NA2061']"
4754,"['NA1877', 'NA1227', 'NA1705', 'NA1365']"
4755,"['NA3528', 'NA1877', 'NA1227', 'NA2061']"
4756,"['NA2176', 'NA1604', 'NA2302', 'NA1516']"
4757,"['NA3528', 'NA1877', 'NA1440', 'NA1911', 'NA1344', 'NA1855']"
4758,"['NA2967', 'NA2561', 'NA3358', 'NA3048', 'NA2532']"
4759,"['NA3528', 'NA2004', 'NA1398']"
4760,"['NA1485', 'NA1825', 'NA1035', 'NA2532']"
4761,"['NA1976', 'NA1014', 'NA2089', 'NA1344', 'NA2061']"
4762,"['NA2423', 'NA3137', 'NA3296', 'NA2532']"
4763,"['NA1139', 'NA1674', 'NA1398', 'NA1705']"
4764,"['NA3596', 'NA2263', 'NA1604', 'NA2302', 'NA1516']"
4765,"['NA3596', 'NA2423', 'NA3137', 'NA3296', 'NA2751']"
4766,"['NA1485', 'NA1877', 'NA1440', 'NA1797']"
4767,"['NA1976', 'NA1150', 'NA2061']"
4768,"['NA3671', 'NA2906', 'NA3734', 'NA2089', 'NA1193', 'NA2595']"
4769,"['NA1139', 'NA2423', 'NA2937', 'NA1911', 'NA1193']"
4770,"['NA1976', 'NA1227', 'NA2328', 'NA3048', 'NA2836']"
4771,"['NA3416', 'NA2937', 'NA2361']"
4772,"['NA1139', 'NA2452', 'NA3117']"
4773,"['NA1485', 'NA1877', 'NA1227', 'NA2532']"
4774,"['NA1139', 'NA2816', 'NA3566', 'NA1705', 'NA1365', 'NA2595']"
4775,"['NA1825', 'NA1035', 'NA1911', 'NA1344', 'NA2061']"
4776,"['NA2967', 'NA2381', 'NA2937', 'NA2751']"
4777,"['NA1877', 'NA1227', 'NA1911', 'NA1344', 'NA2532']"
4778,"['NA1485', 'NA1877', 'NA1440', 'NA1911', 'NA1193', 'NA2659']"
4779,"['NA3376', 'NA2937', 'NA1911', 'NA1344', 'NA1855']"
4780,"['NA2176', 'NA1540', 'NA1797']"
4781,"['NA3021', 'NA2816', 'NA3611']"
4782,"['NA3021', 'NA2033', 'NA1227', 'NA1705']"
4783,"['NA3021', 'NA1825', 'NA1227', 'NA1940']"
4784,"['NA2967', 'NA1825', 'NA1035', 'NA1797']"
4785,"['NA1976', 'NA1227', 'NA1911', 'NA1344', 'NA1940']"
4786,"['NA3671', 'NA2771', 'NA3566', 'NA2061']"
4787,"['NA1485', 'NA2816', 'NA3566', 'NA1911', 'NA1365', 'NA2595']"
4788,"['NA1825', 'NA1035', 'NA2659']"
4789,"['NA1100', 'NA2263', 'NA1604', 'NA1911', 'NA1365']"
4790,"['NA3596', 'NA2033', 'NA1150', 'NA1797']"
4791,"['NA3021', 'NA2816', 'NA3611', 'NA2061']"
4792,"['NA1976', 'NA1248', 'NA2143', 'NA1572']"
4793,"['NA1976', 'NA1014', 'NA1940']"
4794,"['NA1100', 'NA2263', 'NA1604', 'NA2239']"
4795,"['NA2993', 'NA1877', 'NA1014', 'NA1911', 'NA1344', 'NA1940']"
4796,"['NA3596', 'NA2033', 'NA1398', 'NA2659']"
4797,"['NA1733', 'NA1100', 'NA2423', 'NA3137', 'NA3296', 'NA2595']"
4798,"['NA2993', 'NA1877', 'NA1035', 'NA2361', 'NA3117']"
4799,"['NA1139', 'NA2561', 'NA3358', 'NA3172']"
4800,"['NA3596', 'NA2263', 'NA1604', 'NA1911', 'NA1344', 'NA2595']"
4801,"['NA1139', 'NA1825', 'NA1150', 'NA1911', 'NA1193', 'NA2659']"
4802,"['NA2993', 'NA2771', 'NA3566', 'NA2863']"
4803,"['NA1440', 'NA2328', 'NA3172', 'NA3256']"
4804,"['NA2004', 'NA1398', 'NA2659']"
4805,"['NA3671', 'NA1877', 'NA1014', 'NA2239', 'NA1516']"
4806,"['NA2176', 'NA1604', 'NA2089', 'NA1344', 'NA1940']"
4807,"['NA1398', 'NA2836']"
4808,"['NA1139', 'NA1825', 'NA1035', 'NA1911', 'NA1344', 'NA2836']"
4809,"['NA1485', 'NA2452', 'NA3048', 'NA2532']"
4810,"['NA2993', 'NA2452', 'NA2937', 'NA1911', 'NA1344']"
4811,"['NA3528', 'NA2328', 'NA3048', 'NA2532']"
4812,"['NA3416', 'NA3137', 'NA3296', 'NA2751']"
4813,"['NA3528', 'NA2033', 'NA1150', 'NA2836']"
4814,"['NA2967', 'NA2033', 'NA1014', 'NA2328', 'NA3048', 'NA2595']"
4815,"['NA3671', 'NA1877', 'NA1014', 'NA2328', 'NA3048', 'NA2836']"
4816,"['NA1100', 'NA2263', 'NA1540', 'NA1705', 'NA1365', 'NA2595']"
4817,"['NA3021', 'NA2423', 'NA2937', 'NA1705', 'NA1365']"
4818,"['NA2993', 'NA1877', 'NA1150', 'NA2361']"
4819,"['NA3197', 'NA2089', 'NA1344', 'NA1940']"
4820,"['NA1485', 'NA1877', 'NA1344', 'NA2836']"
4821,"['NA2263', 'NA1604', 'NA2328', 'NA3172', 'NA3256']"
4822,"['NA3528', 'NA1825', 'NA1014', 'NA2836']"
4823,"['NA1540', 'NA1705', 'NA1365']"
4824,"['NA3493', 'NA1911', 'NA1193']"
4825,"['NA2176', 'NA1452', 'NA1705', 'NA1365', 'NA2595']"
4826,"['NA2033', 'NA1035', 'NA2595']"
4827,"['NA3671', 'NA2328', 'NA3048', 'NA1754']"
4828,"['NA1976', 'NA1078', 'NA2004', 'NA1365', 'NA2595']"
4829,"['NA1976', 'NA1285', 'NA1674', 'NA1398', 'NA1754']"
4830,"['NA1976', 'NA1398', 'NA1705', 'NA1365']"
4831,"['NA2993', 'NA2561', 'NA3358', 'NA3048', 'NA2751']"
4832,"['NA2967', 'NA2033', 'NA1440', 'NA1911', 'NA1193', 'NA2595']"
4833,"['NA2993', 'NA1877', 'NA1014', 'NA2061']"
4834,"['NA3528', 'NA1674', 'NA1193', 'NA2595']"
4835,"['NA2967', 'NA2033', 'NA1150', 'NA2836']"
4836,"['NA1139', 'NA1825', 'NA1365']"
4837,"['NA3021', 'NA1674', 'NA1303', 'NA2863']"
4838,"['NA2816', 'NA3652', 'NA1855']"
4839,"['NA2967', 'NA1825', 'NA1150', 'NA1911', 'NA1365', 'NA2595']"
4840,"['NA1485', 'NA1825', 'NA1303', 'NA1940']"
4841,"['NA2967', 'NA1855']"
4842,"['NA1976', 'NA1014', 'NA2328', 'NA3172', 'NA3256']"
4843,"['NA2033', 'NA1303', 'NA2532']"
4844,"['NA1976', 'NA1100', 'NA2423', 'NA2937', 'NA2239', 'NA1516']"
4845,"['NA3596', 'NA1825', 'NA1014', 'NA1911', 'NA1344', 'NA2061']"
4846,"['NA1485', 'NA1877', 'NA1440', 'NA1911']"
4847,"['NA2967', 'NA2263', 'NA1572', 'NA1754']"
4848,"['NA3021', 'NA2218', 'NA1572', 'NA2730']"
4849,"['NA1452', 'NA2004', 'NA1398', 'NA2730']"
4850,"['NA2033', 'NA1035', 'NA2836']"
4851,"['NA2381', 'NA3048', 'NA2836']"
4852,"['NA1139', 'NA2263', 'NA1638', 'NA2532']"
4853,"['NA3528', 'NA1877', 'NA1035', 'NA2361']"
4854,"['NA3671', 'NA2452', 'NA2937', 'NA1911', 'NA1365', 'NA2595']"
4855,"['NA2967', 'NA2176', 'NA1604', 'NA2302']"
4856,"['NA2993', 'NA1877', 'NA1440', 'NA1705']"
4857,"['NA1485', 'NA2089', 'NA1365', 'NA2595']"
4858,"['NA1976', 'NA1078', 'NA1911', 'NA1193', 'NA2595']"
4859,"['NA3528', 'NA2452', 'NA2937', 'NA1911', 'NA1193', 'NA2595']"
4860,"['NA1733', 'NA1078', 'NA2218', 'NA1572', 'NA1797']"
4861,"['NA3528', 'NA2423', 'NA3137', 'NA3296', 'NA1940']"
4862,"['NA2381', 'NA3137', 'NA3296', 'NA2061']"
4863,"['NA3528', 'NA1825', 'NA1014', 'NA2089', 'NA1344', 'NA2061']"
4864,"['NA2967', 'NA1877', 'NA1440', 'NA2328', 'NA3048', 'NA2836']"
4865,"['NA3671', 'NA2033', 'NA1150']"
4866,"['NA2993', 'NA2771', 'NA3566', 'NA1911', 'NA1193', 'NA2595']"
4867,"['NA1248', 'NA2423', 'NA3137', 'NA3296', 'NA1855']"
4868,"['NA2263', 'NA1604', 'NA1911', 'NA1365', 'NA2659']"
4869,"['NA1877', 'NA1193', 'NA2659']"
4870,"['NA1733', 'NA1248', 'NA2361']"
4871,"['NA1078', 'NA2328', 'NA3172']"
4872,"['NA2993', 'NA2033', 'NA1440', 'NA2239']"
4873,"['NA3528', 'NA1674', 'NA1365']"
4874,"['NA3528', 'NA1825', 'NA1398', 'NA2836']"
4875,"['NA3671', 'NA1877', 'NA1303', 'NA2239']"
4876,"['NA1976', 'NA1100', 'NA2263', 'NA1572', 'NA2239', 'NA1516']"
4877,"['NA3671', 'NA2033', 'NA1440', 'NA2089', 'NA1344', 'NA2659']"
4878,"['NA1877', 'NA1398', 'NA2595']"
4879,"['NA3596', 'NA1877', 'NA1440', 'NA1911', 'NA1344', 'NA2061']"
4880,"['NA3671', 'NA2263', 'NA1604', 'NA2361', 'NA3117']"
4881,"['NA1733', 'NA1100', 'NA2263', 'NA1638', 'NA2361', 'NA3117']"
4882,"['NA3671', 'NA1877', 'NA1150', 'NA2089', 'NA1344', 'NA2532']"
4883,"['NA2967', 'NA1674', 'NA1303', 'NA1855']"
4884,"['NA2993', 'NA2033', 'NA1227', 'NA1911', 'NA1365']"
4885,"['NA1733', 'NA1100', 'NA2328', 'NA3172', 'NA3256']"
4886,"['NA3528', 'NA2816', 'NA3566', 'NA2061']"
4887,"['NA1485', 'NA2263', 'NA1540', 'NA2061']"
4888,"['NA1100', 'NA2218', 'NA1572', 'NA2836']"
4889,"['NA1733', 'NA1100', 'NA2089', 'NA1344', 'NA1940']"
4890,"['NA1733', 'NA1078', 'NA1911', 'NA1193', 'NA2595']"
4891,"['NA2993', 'NA1877', 'NA1227', 'NA2089', 'NA1344', 'NA2532']"
4892,"['NA1733', 'NA1078', 'NA2128', 'NA1572', 'NA1855']"
4893,"['NA1976', 'NA1285', 'NA2423', 'NA3117']"
4894,"['NA1139', 'NA2381', 'NA2937', 'NA1911', 'NA1344', 'NA1855']"
4895,"['NA2967', 'NA2004', 'NA1303', 'NA2659']"
4896,"['NA1100', 'NA2263', 'NA1540', 'NA2595']"
4897,"['NA1285', 'NA2423', 'NA2937', 'NA1911', 'NA1344', 'NA1855']"
4898,"['NA3528', 'NA2263', 'NA1638', 'NA1705', 'NA1365']"
4899,"['NA3596', 'NA1877', 'NA1440', 'NA2863']"
4900,"['NA2452', 'NA2937', 'NA2361', 'NA3117']"
4901,"['NA3021', 'NA1825', 'NA1014', 'NA2089', 'NA1344', 'NA2532']"
4902,"['NA1976', 'NA1100', 'NA2423', 'NA3137', 'NA3256']"
4903,"['NA1485', 'NA2128', 'NA1572', 'NA2595']"
4904,"['NA2967', 'NA2381', 'NA3172', 'NA3256']"
4905,"['NA3021', 'NA2816', 'NA3566', 'NA1911', 'NA1344', 'NA2595']"
4906,"['NA1733', 'NA1285', 'NA1674', 'NA1398', 'NA2061']"
4907,"['NA3671', 'NA1877', 'NA1014', 'NA2089', 'NA1193', 'NA2659']"
4908,"['NA1078', 'NA2328', 'NA3048', 'NA2061']"
4909,"['NA1638', 'NA2659']"
4910,"['NA1825', 'NA1035', 'NA1911', 'NA1344']"
4911,"['NA1485', 'NA1877', 'NA1440', 'NA1705', 'NA1365']"
4912,"['NA3671', 'NA1877', 'NA1035', 'NA2532']"
